reviewId,region,category,asin,date,rating,title,review_text,initialTime
R2PZOQL6ALQ7US,the United States,Mattresses,B073VLQ5JR,2021-07-15,2,It¡¯s killing me," when it came i was hopeful. but after a week on it im in so much pain. and i like firm mattresses. this didn¡¯t seem like it would be this firm outta the box. but my back, hips, and shoulders are barkin my guy. i don¡¯t sleep through the night bc i wake up in pain trying to put pillows under my body. it ain¡¯t givin what it was supposed to gave. i want my money. ",2021-07-18
R2R9AVRUR819N8,the United States,Beds,B01B8GQCB0,2021-06-28,4,Great value for the money!," great product for the price! very sturdy! no missing parts! wish the headboard was a bit higher, but love it regardless! ",2021-07-04
R2RWUEYRV671FB,the United States,Mattress Toppers,B085RQ483F,2021-06-30,5,Like sleeping on a cloud!," this thing is seriously amazing. we are over the road truckers and bought this to make sleeping in the truck more comfortable. we sleep better in the truck than at home, and then we don't want to go to work lmaoooooit's super soft and comfortable. we call it ""the cloud"" because that's how it feels. highly recommend. ",2021-07-04
R2U06BB3TZP9W,the United States,Mattress Toppers,B07MY34QH7,2021-06-01,5,Like a cloud, i was in need of a new mattress but didn't want to purchase one only to use for a couple of months to get rid of before moving. wow this is like sleeping on a cloud. i would highly recommend this gel topper. ,2021-06-06
R2YKGOJQ237GSN,the United States,Mattress Toppers,B01H2OCVYO,2021-07-05,1,Cement," awful, like sleeping on cement ",2021-07-11
R35ID0T4J8JE7A,the United States,Bed Frames,B07SM8QY4M,2021-06-17,5,Everything came out perfect, everything came out perfect ,2021-06-20
R35K9V1I951OY6,the United States,Mattress Toppers,B07ZMGBWKT,2021-06-28,5,Excellent product!, this mattress topper is excellent it's super comfortable and great quality. it makes a huge difference adding this to the mattress. the price is great and i couldn't be happier with it. i would definitely recommend this topper to anyone! ,2021-07-04
R36M9ULJBWJKY8,the United States,Sofas & Couches,B01LZAPMY4,2021-06-06,1,Not that great waste of money, ?bought this in august it¡¯s been broken since april save your money i¡¯m waiting to see if the warranty will replace it ,2021-06-09
R3K7HFV1S2IKBK,the United States,Mattresses,B0864KK3ML,2021-06-07,3,ok," not the plush feel as described, but what i expected. i bought the lucid 3"" bamboo charcoal topper to go with it. all is good now. i have done this in the past. the topper they make is wonderful. the mattresses...well...i believe are lacking. i am 64, 110 lbs, and have arthritis with other bone ailments due to my service in the navy. the topper provides the pain relief, and sleep quality i am looking for. the mattress had me waking up with my bones screaming. ",2021-06-13
R3M8WBS5B8NB8F,the United States,Mattresses,B07RWKZYGB,2021-06-29,5,Super? mis espectativas, me encant? ,2021-07-05
R3N0Y7VNTN1C4C,the United States,Mattresses,B0851XNJ6T,2021-07-02,5,Bye night sweats," so comfortable, and no night sweats! i heat up like a furnace at night, and was worried this would hold heat being so compact. it's breathable and i'm overall pleased with it. pretty solid price point, quick delivery, easy to air out. slept on this within hours after i took it out of the packaging to expand. ",2021-07-04
RBZYYNLNUKNG1,the United States,Bed Frames,B08ZCSDPBP,2021-06-03,1,Arrived broken, arrived broken issue us still not resolved ,2021-06-10
RJDRMELUGZ9AV,the United States,Sofas & Couches,B07Y4QCDXC,2021-07-15,1,Spring broke," this chair for 1 hurts my lower back, it is very low to the ground. i am 195 pounds. while sitting down one-day watching tv, one of the springs popped right where i was sitting. you can see it in the picture. i have never plopped down on the couch. you get what you pay for. ",2021-07-18
RT2HN00Z7TEV,the United States,Bed Frames,B07RX8XWRP,2021-06-26,5,Great product for the price!," i love this bed! it's super simple but still pretty. it does sit low to the ground so if your not used to having a low bed, it will take some getting used to. i didn't put it together but it only took my husband about an hour and he didn't have any issues. can't love it enough! ",2021-07-05
R16U90QM1WAOI0,the United States,Mattress Toppers,B08BNC8V2Q,2021-06-14,5,I like it, very comfortable good product ,2021-06-20
R1A08ANG0V5IAR,the United States,Mattress Toppers,B08GRZ8B1P,2021-06-23,5,Outstanding Mattress Cover!!," this mattress cover makes your mattress cover feel like you are in a luxury hotel bed. it¡¯s hard to get up in the morning, because it¡¯s soft and makes me relax. ",2021-06-27
R1SL78OURZ650L,the United States,Mattresses,B07GBGLST7,2021-06-03,5,"Great night sleep, perfect fit", great mattress! fit our pack n play perfectly and baby slept through the night when staying over with family. a little bulky for travel but super light and easy to throw in the car for a road trip. ,2021-06-05
R2AW2FKEE1ZNNH,the United States,Box Springs,B082T8QCZS,2021-07-09,5,Nothing to complain about!," i was scared to death, having bought this before reading the bad reviews... thank goodness there were no problems at all. incredibly easy, less than 30 minutes from opening the box to putting it on the bed, just one person alone. the box spring fit perfect in the standard full-sized bed, not to big as others have said. no parts missing, and the cover was surprisingly easy to put on too!i feel this was definitely a steal of a price, for something this easy to assemble and functional! ",2021-07-12
R2FB5XSG6VHEPL,the United States,Mattresses,B00Q7EVAXO,2021-07-08,1,Terrible Product!," terrible product . . .the corners nevrr inflated, it is not comfortable-- huge disappointment! do not buy this product! ",2021-07-11
R2RGMGOF2DYC90,the United States,Beds,B0837GHXFK,2021-06-10,5,Great bed," i don¡¯t always do reviews, but i just put the bunk bed up and love it! we have a small 2 bedroom house with a 4 yr, 3 yr, and 2 month old so i needed more space in their room and this made it happen. it took me about 2 hours to put together, but only because my 3 and 4 yr olds were helping. it is fairly easy to assemble and seems sturdy. if you need a space saver this bed is definitely the right choice! excuse the mess in the photo. it was bed time before i got done with their room. ",2021-06-13
R2SM2CI9R7SUT5,the United States,Mattresses,B083YXZP19,2021-07-17,5,Cloud Nine, omg this mattress is so comfortable. did not have any chemical or petroleum smell right out of box. let sit for 3 days to obtain full form. i have to say it is amazing. would highly recommend. ,2021-07-19
R3360C28DCBU7K,the United States,Mattresses,B0777K9RGX,2021-06-07,5,Love this mattress, excellent mattress! we¡¯ve been awaking in morning after a good night¡¯s sleep without lower back stiffness. love it! ,2021-06-09
R34O7TWK1IQ3KY,the United States,Mattresses,B00QBZ265U,2021-07-04,3,"Upgrade from our old mattress, still not the solutions"," we purchased the t&n queen a few years ago because of the reviews, 100-night sleep guarantee and price. our old mattress sank in the middle so this was big upgrade. however it is quite firm and it seems like every time we sleep somewhere else we have a better night sleep.a good upgrade for a very bad sleep situation, but not the solution. ",2021-07-11
R3ATIDMSW3Z75B,the United States,Bed Frames,B07CWHMR39,2021-06-24,4,Easy assembly and Sturdy, pretty good product for the price. could not get one screw in the upper side of the support no matter how hard i pushed or tried. seems sturdy so far. it¡¯s a guest bed so it¡¯s fine. ,2021-06-27
R3G4JH1FEVVIST,the United States,Bed Frames,B071CLRK9G,2021-07-03,5,Tough and sturdy," very sturdy and high, making it easy to store stuff underneath. very good frame. recommended!!! ",2021-07-11
R3PLU024AVNTIV,the United States,Mattresses,B08Y5GL9N3,2021-06-12,1,Do not buy this brand!!!!, this mattress was unrolled for 48 hours and was still only 7 inches high and still all creased up. it is a very bad product. ,2021-07-19
R61TG2JJPWAOP,the United States,Mattress Toppers,B07WG9HCP9,2021-06-28,4,Soft," definitely makes my bed more soft, however, it isn¡¯t cooling as promised. i sweat now but didn¡¯t before without it. ",2021-07-04
RGJHFWPTB76NW,the United States,Bed Frames,B087M3GTBM,2021-06-20,4,Almost ideal, about the only thing i can b critique is that there has to be a better way to secure the sturdiness other than the wall anchor option with just one anchor point. ,2021-06-27
RZTFVW16O3IB8,the United States,Beds,B076FH7YDF,2021-06-15,5,Stylish and sturdy," it is very simple to assemble ... i had a few left over screws and bolts but bed has been up a month and is very sturdy. no squeaking, cracking, or anything. we only have a 12in memory foam mattress on the bed and it is not sitting low at all. ",2021-06-20
R17B9PG2Q0P4MB,Canada,Beds,B01LZQGBWB,2021-06-14,5,Great bed," was reluctant to purchase furniture site unseen off amazon ...but we¡¯re impressed with our sons new bed. easy assembly, sturdy and the price is great ",2021-06-28
R1NWOOK2JR2DNH,the United States,Mattresses,B07GBGLST7,2021-07-07,5,Good quality, this was perfect for my pack and play. my granddaughter comes to visit and i just don¡¯t think the mattress that comes with the play yard was thick enough and this is perfect. good quality and washable covering. i love that it has a softer and firm side. my granddaughter came last week and slept just fine! ,2021-07-11
R1ZXC1ROYXKW6J,the United States,Mattress Toppers,B01MSUC5UR,2021-06-04,4,Comfort, great for comfort. smell didnt last long but the first 2 weeks it was crazy strong. ,2021-06-07
R20KSQQ1611HFT,Mexico,Mattress Toppers,B073JVR17F,2021-06-02,5,muy comodo," muy buen producto, se duerme muy comodamente. el cuerpo descansa mejor. ",2021-06-15
R293MHR1DZIKNP,the United States,Bed Frames,B08ZHGF17Q,2021-06-28,4,It¡¯s nice, it looks nice. not too hard to put together but due to some pieces not being that great it also gave some trouble. but it worked out in the end. it took my mom and i about 2 1/2 hrs to put it together. ,2021-07-05
R2AO5X8DT0FQAW,the United States,Mattress Toppers,B07Q23GLLX,2021-06-09,5,Firm," packaging was great. comes with box cutter to open. bought a new mattress & just wasn't quite as firm as i thought, this made it 10/10. highly recommend (i got 3 inches) if you like firm but still a little give. ",2021-06-11
R2BXPTDMCOZ9J8,the United States,Mattresses,B076MMKSFB,2021-06-25,5,Super comfortable," this bed is super comfortable. very pleased to get something this comfortable without spending a fortune. i used to use a gel mattress topper, but this is so comfortable i do t need to anymore. ",2021-06-27
R2JFEFC8SMD169,the United States,Sofas & Couches,B07KN1RPBB,2021-07-12,2,Not Good, it did not last long ,2021-07-19
R30GSXYVRP0D0Q,the United States,Bed Frames,B08X4HSKG6,2021-07-08,5,Great price & easy installation!, i love how high this platform bed is. i got the 18 inch queen size so i can fit my 66 qt storage bins (16 inches tall) under the bed & they fit perfectly. it was also a breeze to install with a partner. it's also a great price too. two thumbs up! ,2021-07-11
R3HBBGL4MWU3GS,the United States,Mattresses,B0861HBXCD,2021-07-07,5,Super comfy mattress," never slept better than this. rolled it out of its vacuum seal, was on my bed in 15 minutes. if you're tired of waking up with aches an pains because of an overly stiff mattress, this is for you. ",2021-07-11
R3HR71QA16ACF2,the United States,Beds,B07JFCMK4F,2021-06-24,5,Good frame at a good price., i actually don't mind the height of this bed and it turned out just right. it wasn't difficult to set up and does the job just fine. ,2021-06-28
R3R5344ISZB5JH,the United States,Sofas & Couches,B092RYG9MG,2021-06-15,5,Excellent sofa, nice quality product. ,2021-06-21
R3U4SHLRTPS6QH,the United States,Mattress Toppers,B08XBHZT89,2021-06-03,5,Great quality mattress topper, money well spent for sure. this is a great quality mattress topper i sleep better now. this mattress topper is super-thick and comfortable.i bought a different one for my guest room. i could say it¡¯s better than the other one. i have also noticed that it's not too hot. i have had issues with memory foam prior. made me sweat so much but this one is just the best. i would definitely recommend. the pillow top has deep pockets so i will fit over your mattress well and it won¡¯t move around. ,2021-06-06
R8T4G5HV55C60,the United States,Mattresses,B01M6Z033T,2021-06-22,4,Got my use out of it, money well spent ,2021-06-27
RBVSVH9WAKRGX,the United States,Bed Frames,B092ZJZ83H,2021-06-08,5,I LIKE IY," this bed frame is very comfortable, i am still full of recommended, its back is cotton is very comfortable, feel very good. and the wood used at the bottom is practical, 200 pounds should be fine, this price can afford this quality. with my own mattress, it's perfect ",2021-06-10
RDRJSH5FZM0DN,the United States,Mattress Toppers,B07WHDWK1Y,2021-06-18,5,Great mattress or topper!, this memory foam mattress is great! i¡¯m using it on my platform bed for car camping in my suv. finally realized my dream. it¡¯s so comfy and a great size.i think it would be an awesome mattress topper too. it¡¯s so comfy you can sleep on it by itself as well.it does have a chemical smell when you first take it out of the plastic but that dissipates soon enough. love it! ,2021-06-21
RHMOUSRYDPG5Z,the United States,Mattress Toppers,B01MRL0H2B,2021-06-16,2,Not much support., didn¡¯t really seem to make a difference on my mattress. ,2021-06-20
RMIVXSL9TYG89,the United States,Bed Frames,B08RGBXRYT,2021-07-15,5,everything part is perfect, first of all this bed frame is gorgeous the velvet is super soft but you know it¡¯s durable. it¡¯s also the perfect solution for us storage-challenged studio apartment dwellers. literally so excited to put things in a proper storage solution that isn¡¯t bulky and in the way! assembly was pretty straightforward and easy. it took me and my mom about 90 minutes to put together in total.amazon deliverers we¡¯re great and super helpful!overall a great buy. thank you mr. kate for designing a bed frame with storage solution that isn¡¯t super bulky!!! ,2021-07-18
RXC0J3TIL4RK2,the United States,Mattresses,B06XW3WGGR,2021-07-06,5,More than happy!," i can not say enough! i bought this for one of my guest rooms, it's so comfortable that my guest actually try to call ""dibs"" on that room, because the mattress is so comfortable!absolutely wait 24-48 hrs before you sleep on it for the maximum comfort! great purchase! i'd give it 10 stars if i could!! ",2021-07-11
RXLINUFN4LJ7F,the United States,Bed Frames,B08HCYX3ZX,2021-07-02,5,Just what I needed, good bed easy to assemble very sturdy just what i needed for extra sleeping. ,2021-07-04
R15BXEG5IH50JV,the United States,Mattress Toppers,B07QL3GXHK,2021-07-15,1,Not supportive enough," we got this last year. our sleep number foam topper had to be replaced because our dog clawed huge hole through the foam. mattress itself is still in pristine order. we keep the bed at our cabin that we visit throughout the late spring and summer. this 2¡± topper has brought me terrible back pain. every weekend we sleep on it, i feel chronic lower back pain for 2 weeks before the pain goes away. i¡¯ve tried various settings, but same result. i¡¯m sure it¡¯s a good brand, but 2¡± is simply not enough to support your body. i¡¯m thinking we¡¯ll need 6¡± topper next time. ",2021-07-18
R17B71OVYS2FFY,the United States,Mattress Toppers,B01DM9VHKC,2021-06-10,3,It was good at first, i really liked it at first. it was comfortable to sleep on. i put it on top of my queen mattress. now some 4 months later it's like deflated... it's not as comfy anymore. i dont feel that cloud like comfort anymore ,2021-06-14
R1JWH587907Q9L,the United States,Mattress Toppers,B07FXT9V56,2021-06-24,5,"Nice product, perfect discription."," nice product, perfect discription. ",2021-06-27
R1K2QLZ7H6FY6N,the United States,Beds,B0788TG3SJ,2021-06-27,5,Quality and sturdy product," zinus is known for having a budget mattress, so i figured i would try out their bed frame because this one was in my budget. i was absolutely surprised by the quality of the pieces. very thick and sturdy parts. the box was super heavy (100+lbs) so make sure you are able to carry some heavy pieces if you are putting this together yourself. ",2021-07-04
R1OPKL2TY3UXU,the United States,Bed Frames,B087P6SRJ4,2021-07-14,5,Sturdy, wish the directions were a little more clearer! had to really think out how the parts fit together. ,2021-07-18
R1R0OURWVYO4TH,the United States,Mattresses,B093K95SZ2,2021-06-10,5,"Quick delivery, durable material, so comfortable!!!"," i ordered this mattress after trying a different boxed mattress that i was unhappy with due to discomfort. this mattress was delivered quickly, easy to set-up, and extremely comfortable.another thing i love about this mattress is how breathable it is! i tend to get hot while i sleep and just after a few nights on this mattress, it¡¯s definitely helping to regulate temperatures and keep me cool! i¡¯m so thrilled that i didn¡¯t have to sacrificing quality for cost with this mattress¡¦worth the investment!! ",2021-06-15
R1ZNUB5DFBU0K9,the United States,Beds,B01LXM1FE6,2021-06-05,5,Excellent value," perfect for my teen¡¯s bedroom. i love the low profile of this bed.super easy to put together, sturdy, but easy to move around the room. it has a velcro piece that really connects the mattress to the bed, so try to get it on right the first time! ",2021-06-07
R23IK1MVBJJT0H,the United States,Mattress Toppers,B07Z6X9QH7,2021-06-05,4,Soft and very comfortable," i'm using this in my guest bedroom which has a 20 yr old saggy mattress. the topper eliminated the sag and is very soft and comfortable. as with all foam, it does get warm after a while from body heat. fine for winter, but on these 90 degree summers a bit toasty. ",2021-06-09
R2IRNNEFJ23TI2,the United States,Mattress Toppers,B00YZG1810,2021-06-16,1,It was very poor quality. It was bumpy and poorly made., i purchased this so it would be comfortable for me since i am old and need something soft to sleep on. it was not. it was bumpy and poorly made. i wish i had gone to a well known store. i had purchased one some time ago from j. c. penneys and it was super quality. ,2021-06-20
R2L43GHHB4P32I,the United States,Mattresses,B091HP6XQ9,2021-06-28,5,AMAZING," this mattress is amazing, it¡¯s super soft and comfortable for an amazing price. ",2021-07-05
R2O15VYXRXA46H,the United States,Mattresses,B01IU6RJYA,2021-06-27,5,Great value, comfortable and great value ,2021-07-04
R2PCRPCNWEIU76,the United States,Beds,B078J64YXM,2021-07-10,3,Ok product," bought 2 of these for my kids. the bed is made from a metal frame and extremely heavy yet, the manufacture thought it was a good idea to fit it into one box-wrong. both of the beds came busted and frankly i can¡¯t blame the ups guys i¡¯m- it is just too heavy for one person. some of the frame had marks because of that. putting it together wasn¡¯t complicated with ok instructions but not so great pre- drilled holes which were not perfect and as a result i busted couple of the bolts(cheap) so had to get replacements from hd. i can¡¯t imagine trying to build it without a drill - building it with the provided tool will be painful and will take much much longer. that said - kids love it. ",2021-07-18
R31CY94QMU10JY,the United States,Beds,B07JHV8DNK,2021-07-09,4,Square ladder rungs = hurt feet!," had this bed for a month so far and love it! sure it wiggles and squeaks a bit, but once settled, it's solid.biggest complaint is the ladder: square rungs are painful. i put pool noodles around them and that does well, but the noodles are falling apart after only a few weeks. still trying to find a better solution for it.the desk space is spacious, though it could stand for a little more width. another 2-3 inches would be perfect.assembly was very straight-forward, least until i tried to open a bag of parts and used too much strength and flung the parts everywhere (the plastic c-clips). pro-tip: cut the bags open carefully. do not rip the bags open.took me a few hours to get it together, but so happy once it was. no more sleeping on the floor. ",2021-07-11
R33DZWI99XYMTF,the United States,Beds,B07MH69VK7,2021-06-16,5,Beautiful addition for guest room, nice bed for the guest room! got everything from the bed to mattress to pillows sheets and blanket from amazon! it was exactly what i was looking for! it did take 2 people to assemble and if you have a wrench that sped up the process opposed to using that little allen that domes with it! i am 100% happy! ,2021-06-20
R33R4AFOFSQEO2,the United States,Mattresses,B01NH0XWNU,2021-06-15,5,Love!, love this mattress! have purchased 4 for various residences. very comfortable and i am a side sleeper. also like that there is no need for a box spring. highly recommend! ,2021-06-20
R34D06KNY75IKD,the United States,Mattress Toppers,B01AGUPRH4,2021-07-14,5,Make your mattress better., just the little extra a mattress needs to make it perfect. ,2021-07-18
R3DZRQ1KT8Z8QE,the United States,Beds,B08YYQ29N9,2021-06-22,3,Pick something else, it's vary wobbly. i am a full grown adult and i had trouble seeing what the picture instructions wanted me to do. i have sleeped on the top bunk and it's vary wobbly. it's off putting ,2021-06-28
R3GQH1LIEPDZN1,the United States,Bed Frames,B07YQR7BQL,2021-06-09,5,Very Sturdy High Quality Construction," the bed frame was easy to assemble. all parts are of high quality metal with a good finish. very stable, strong, noise free, and large storage underneath. bought another since we were so impressed with the quality! ",2021-06-15
R3ICZJ2POOXNOO,the United States,Mattresses,B091HP2WFK,2021-06-18,5,nice!!, my daughter had this bed and asked if we could get one for the guest room. once purchased i liked it so much i bought it for my bedroom. soft yet supportive and cool! ,2021-06-21
R3MCN7WZDF8WYR,the United States,Sofas & Couches,B00FNFA6ZG,2021-07-10,5,Perfect replacement for my original coil mattress in my sleep sofa and much more comfortable, this was a perfect replacement for my original and very uncomfortable coil mattress in my sleep sofa. all of my guests are now very happy when they use it! ,2021-07-18
R3QU3RILNL36Y7,the United States,Mattress Toppers,B07BNYQ8PS,2021-06-23,1,Worst mattress pad EVER!!!," i always try and give the benefit of the doubt when it comes to purchasing products but, this was the worse thing i had ever purchased!!! i have only had this mattress pad for a month in a half and it now looks as if someone used a machete on it. i followed the instructions to the letter yet it still turned into shreds. i do not have any children, pets and i am not a wild sleeper and yet this pad is in horrible condition. if i could this ""0"" stars i would. save your money! ",2021-06-27
R8I56CGWB4XU4,the United States,Beds,B07ZGMGTCJ,2021-06-19,5,Good bed and price," this bed fits perfectly on the floor of the backseat of my truck. the quality is solid and you can¡¯t beat the price. what else can ya say, it does its job! ",2021-06-28
RLBBOAG6GJZFD,the United States,Sofas & Couches,B01MS5FYAL,2021-06-21,1,. NOT HAPPY!!!, it was canceled by the manufacture at the last minute. not happy!! ,2021-06-27
ROXFP3TFIJFOI,the United States,Beds,B01B8GQAOO,2021-07-01,2,"Looks nice, BAD quality", had the frame close to 3 years. i've had ikea beds last way longer than this. middle support leg broke. bottom two legs went after that. can't get a replacement cause they are out of stock on the zinus site. was offered a prorated check but i have to send the bed back first and sleep on the floor. poor service. ,2021-07-04
RX4VC44F3E5EP,the United States,Bed Frames,B08MHYWK54,2021-06-28,1,I wouldn¡¯t recommend this at all," i purchased this bed some weeks ago, i am so disappointed the reason being was that the headborde of the bed was not even at all!!!i made the return procedure when i took it to get it shipped it was ridiculously pricey, more then what i had paid for the bed!! i feel that they should pay like in this case for the return do to the product being damaged.!!! ",2021-07-04
R1NUICK2DGT465,the United States,Mattresses,B08DXZWGJG,2021-06-29,5,I love it!," i am so impressed and pleased with my purchase. it came all rolled up and sealed. i was worried about comfort and quality until i unrolled it. it slowly started 'hissing' and rising. i then slit the vacuum seal and watched it slowly grow! it's wonderful. your supposed to wait 72 hours before you use it but i waited like 14? two weeks later, very pleased. its soft but firm. directions tell you to rotate it regularly but i was brought up to do that to my mattresses. the side pain i had from my previous mattress is gone! i will consider this same company when it's time to replace my full mattress. ",2021-07-05
R1W9BS7ULAWCIQ,the United States,Bed Frames,B0946NHY8H,2021-07-12,4,Great bed so far," easy to put together, very time consuming though ",2021-07-18
R22U17FAN7U9WR,the United States,Mattresses,B083YYBNF9,2021-06-27,5,Great purchase!, very comfortable and came on time. super easy to get out of the box and it only took a couple minutes for it to expand. we love it! ,2021-07-05
R232HGMMFPHW3N,the United States,Beds,B01M7M9NXX,2021-07-09,5,Great price easy to assemble, great price easy to assemble no complaints ,2021-07-11
R24HQRA9WGGD3A,the United States,Box Springs,B07C9C5YYN,2021-06-26,5,quick and easy assembly and durable," easy to understand directions, easy assembly,very sturdy, very satisfied with this product ",2021-07-04
R25SLZQ4G9DSK3,the United States,Beds,B08NXCM2FJ,2021-06-30,5,Get it!, perfect! my 5 year old son loves his new bed! ,2021-07-04
R288RR9K1GBWX6,the United States,Mattresses,B08DK5D4ZX,2021-06-16,5,Affordable elevation for mattress, need elevated bed for reflux. i had previously used bed rail elevation but this was a great alternative. the foam is quiet not like the loud squeaking the rails made when we moved around in bed. ,2021-06-27
R2IZ14VLJDZC6C,the United States,Bed Frames,B07BR5Y9SR,2021-07-15,5,Sturdy, frame was received quickly. was easy to put together and seems sturdy! ,2021-07-19
R2PXC3B588S1BM,the United States,Mattresses,B0859Q8KF9,2021-06-02,5,Good, ?? ,2021-06-04
R2QS1533LDHNJP,the United States,Mattress Toppers,B00CEMH3C0,2021-07-06,5,Worth the price, loved this product ,2021-07-11
R33W5OUMOHSXF7,the United States,Bed Frames,B08SW2TQXW,2021-06-05,5,Good frame, i wanted to buy queen but bought the twin size by accidentally. that¡¯s ok i will keep it for my 5 years old son. we decide to let him sleep alone. the bed frame is super easy to set up and he likes it. ,2021-06-08
R3A2LTLJEQJJE0,the United States,Bed Frames,B07TTM6YBK,2021-06-10,1,SQUEAKS WHEN U MOVE, i hate that it squeaks!!!! bed looks fantastic otherwise. ,2021-06-16
R3O0RH202GNFYV,the United States,Mattresses,B00GTCL480,2021-06-13,5,Mattres, this was an extra mattress for my shore house. great price for the mattress. ,2021-06-20
R3R2DCIQ5NZ5A3,Canada,Mattresses,B072QBWG7W,2021-06-09,1,The product had fleas..., the product had flea's... had to throw it out.5* towards amazon customer service for resolving the issue - they were fantastic and very apologetic. ,2021-06-15
R3VSEJA2GO1WVL,the United States,Mattresses,B012J1TFTE,2021-06-01,5,Amazing Mattress For The Money," me and my wife have slept on this mattress everyday for a few months and are highly impressed. it is very soft and molds to your body. honestly, there isn't anything i would change about this mattress. the price is also amazing. i highly recommend you give it a try. ",2021-06-04
R6QS8292GNJ37,the United States,Mattress Toppers,B08V8Y9F4R,2021-07-15,5,Good product," the quality of this mattress is very good, better than expected. it is very soft when lying on it. i think i may need it more in winter. it will make my bed softer and warmer. ",2021-07-18
RP8GNP9EVDD77,the United States,Sofas & Couches,B08M8W5QLW,2021-07-11,1,Pretty & easy to assemble but very poorly put together and didn't last even a few weeks.," this broke within 2 weeks. the seat portion was only held up by staples. this item was easy to assemble(you only have to add the wheels and slide the arm rests on. very disappointed and it was returned right away. still have yet to get a refund. per amazon, furniture can be returned within 30days for any reason. better off spending the extra money to get a solid piece of furniture. ",2021-07-19
RRBKHYH9WPG6L,the United States,Box Springs,B01AS4W8WU,2021-06-05,5,Love the box springs!, i needed to replace the wooden box springs because they were cracked and squeaking. i decided to buy metal instead of wood and i love that it was easy to assemble and that it doesn't squeak. great product! ,2021-06-07
RRJ2Y7GMZ1F5M,the United States,Bed Frames,B08ZKR6117,2021-07-17,5,Sleep on it every night, love this thing. sleep on it every night and no problums so far. nice old fasion look ,2021-07-19
RUNFHQMABSE9B,the United States,Beds,B06Y3NQBZL,2021-07-06,5,Great bed for price!, love it! especially loved that all hardware/etc was in the headboard. ,2021-07-18
R139B89SCXKMBQ,the United States,Bed Frames,B089N7B2D7,2021-06-12,3,When it's to good to be true ?????¡Ï?????¡Ï?????¡Ï, well this was a great purchase came super fast and was almost done putting it together when i realized the main thing i had got this was for the canopy i was so happy to put it together just to come to find it's missing one piece so i will not have the canopy very very depressing everything was going great and it looks great that was very sad?????????????¡Ï ,2021-06-20
R17TVD089VFFLJ,the United States,Beds,B077XQWZG9,2021-06-07,5,As promised, made very well. shipment on time and as promised. ,2021-06-09
